,ID,best_score,best_params
74,V1_fc7_Subj5,0.6544217687074829,"{'max_iter': 100, 'C': 10}"
75,V1_fc8_Subj1,0.7224489795918367,"{'max_iter': 100, 'C': 10}"
76,V1_fc8_Subj2,0.5088435374149661,"{'max_iter': 100, 'C': 10}"
77,V1_fc8_Subj3,0.7578231292517007,"{'max_iter': 500, 'C': 5}"
78,V1_fc8_Subj4,0.8108843537414965,"{'max_iter': 500, 'C': 5}"
79,V1_fc8_Subj5,0.6217687074829933,"{'max_iter': 500, 'C': 5}"
80,V2_conv1_Subj1,0.6231292517006802,"{'max_iter': 500, 'C': 1}"
81,V2_conv1_Subj2,0.40816326530612246,"{'max_iter': 500, 'C': 1}"
82,V2_conv1_Subj3,0.5999999999999999,"{'max_iter': 500, 'C': 5}"
83,V2_conv1_Subj4,0.6272108843537415,"{'max_iter': 500, 'C': 10}"
84,V2_conv1_Subj5,0.5183673469387755,"{'max_iter': 500, 'C': 5}"
85,V2_conv2_Subj1,0.8476190476190476,"{'max_iter': 500, 'C': 5}"
86,V2_conv2_Subj2,0.6476190476190476,"{'max_iter': 500, 'C': 5}"
87,V2_conv2_Subj3,0.8571428571428571,"{'max_iter': 500, 'C': 10}"
88,V2_conv2_Subj4,0.8462585034013606,"{'max_iter': 500, 'C': 10}"
89,V2_conv2_Subj5,0.7170068027210884,"{'max_iter': 50, 'C': 1}"
90,V2_conv3_Subj1,0.889795918367347,"{'max_iter': 50, 'C': 10}"
91,V2_conv3_Subj2,0.708843537414966,"{'max_iter': 500, 'C': 10}"
92,V2_conv3_Subj3,0.887074829931973,"{'max_iter': 500, 'C': 10}"
93,V2_conv3_Subj4,0.908843537414966,"{'max_iter': 500, 'C': 5}"
94,V2_conv3_Subj5,0.7605442176870749,"{'max_iter': 500, 'C': 1}"
95,V2_conv4_Subj1,0.891156462585034,"{'max_iter': 10, 'C': 10}"
96,V2_conv4_Subj2,0.7129251700680274,"{'max_iter': 100, 'C': 1}"
97,V2_conv4_Subj3,0.8666666666666666,"{'max_iter': 10, 'C': 5}"
98,V2_conv4_Subj4,0.908843537414966,"{'max_iter': 100, 'C': 10}"
99,V2_conv4_Subj5,0.7782312925170068,"{'max_iter': 500, 'C': 10}"
100,V2_conv5_Subj1,0.8802721088435375,"{'max_iter': 500, 'C': 10}"
101,V2_conv5_Subj2,0.6979591836734694,"{'max_iter': 50, 'C': 10}"
102,V2_conv5_Subj3,0.8707482993197281,"{'max_iter': 500, 'C': 5}"
103,V2_conv5_Subj4,0.887074829931973,"{'max_iter': 500, 'C': 10}"
104,V2_conv5_Subj5,0.7578231292517005,"{'max_iter': 50, 'C': 1}"
105,V2_fc6_Subj1,0.8095238095238094,"{'max_iter': 500, 'C': 10}"
106,V2_fc6_Subj2,0.6054421768707483,"{'max_iter': 500, 'C': 5}"
107,V2_fc6_Subj3,0.8095238095238094,"{'max_iter': 100, 'C': 10}"
108,V2_fc6_Subj4,0.8380952380952381,"{'max_iter': 500, 'C': 10}"
109,V2_fc6_Subj5,0.6938775510204082,"{'max_iter': 500, 'C': 1}"
110,V2_fc7_Subj1,0.7578231292517007,"{'max_iter': 100, 'C': 1}"
111,V2_fc7_Subj2,0.5442176870748299,"{'max_iter': 100, 'C': 5}"
112,V2_fc7_Subj3,0.7591836734693878,"{'max_iter': 500, 'C': 10}"
113,V2_fc7_Subj4,0.7904761904761904,"{'max_iter': 500, 'C': 1}"
114,V2_fc7_Subj5,0.6285714285714287,"{'max_iter': 500, 'C': 10}"
