,level_0,level_1,level_2,SVC,Random Forest,Gradient Boosting,Logistic Regression
0,FFA,conv1,Subj1,0.06802721088435373,0.06802721088435373,0.07891156462585035,0.1401360544217687
1,FFA,conv1,Subj2,0.0707482993197279,0.08843537414965986,0.04761904761904762,0.08299319727891155
2,FFA,conv1,Subj3,0.08027210884353742,0.1142857142857143,0.1129251700680272,0.20408163265306123
3,FFA,conv1,Subj4,0.04625850340136055,0.06394557823129252,0.06122448979591837,0.10340136054421768
4,FFA,conv1,Subj5,0.059863945578231284,0.08979591836734693,0.06802721088435373,0.13877551020408163
5,FFA,conv2,Subj1,0.1183673469387755,0.09523809523809525,0.08571428571428572,0.14285714285714285
6,FFA,conv2,Subj2,0.08979591836734693,0.10340136054421768,0.07891156462585035,0.0870748299319728
7,FFA,conv2,Subj3,0.2,0.13197278911564625,0.12653061224489795,0.22585034013605446
8,FFA,conv2,Subj4,0.1074829931972789,0.07755102040816327,0.0870748299319728,0.10612244897959185
9,FFA,conv2,Subj5,0.18775510204081633,0.11700680272108843,0.09659863945578231,0.20816326530612245
10,FFA,conv3,Subj1,0.15782312925170067,0.14829931972789118,0.11156462585034015,0.18503401360544217
11,FFA,conv3,Subj2,0.09931972789115646,0.10476190476190475,0.06530612244897958,0.10068027210884355
12,FFA,conv3,Subj3,0.24897959183673465,0.2013605442176871,0.14557823129251699,0.2843537414965986
13,FFA,conv3,Subj4,0.10340136054421768,0.08435374149659865,0.07619047619047618,0.1129251700680272
14,FFA,conv3,Subj5,0.22312925170068026,0.14013605442176869,0.08163265306122448,0.25578231292517006
15,FFA,conv4,Subj1,0.16326530612244897,0.13741496598639455,0.10068027210884353,0.16870748299319732
16,FFA,conv4,Subj2,0.1183673469387755,0.08027210884353742,0.07346938775510203,0.0925170068027211
17,FFA,conv4,Subj3,0.26394557823129255,0.1741496598639456,0.13197278911564628,0.2761904761904762
18,FFA,conv4,Subj4,0.11836734693877551,0.11020408163265305,0.0965986394557823,0.108843537414966
19,FFA,conv4,Subj5,0.24217687074829936,0.11156462585034012,0.09387755102040818,0.2761904761904762
20,FFA,conv5,Subj1,0.18095238095238095,0.13741496598639452,0.11292517006802723,0.182312925170068
21,FFA,conv5,Subj2,0.09795918367346938,0.09659863945578231,0.07210884353741497,0.091156462585034
22,FFA,conv5,Subj3,0.2680272108843537,0.17551020408163268,0.13741496598639455,0.2938775510204082
23,FFA,conv5,Subj4,0.11156462585034012,0.08979591836734693,0.07482993197278912,0.1142857142857143
24,FFA,conv5,Subj5,0.24217687074829936,0.12789115646258503,0.1129251700680272,0.2680272108843537
25,FFA,fc6,Subj1,0.17006802721088438,0.17006802721088435,0.12789115646258503,0.18367346938775508
26,FFA,fc6,Subj2,0.10884353741496598,0.10068027210884353,0.07210884353741497,0.1074829931972789
27,FFA,fc6,Subj3,0.2598639455782313,0.22312925170068026,0.1904761904761905,0.2843537414965986
28,FFA,fc6,Subj4,0.091156462585034,0.08571428571428572,0.07210884353741497,0.10612244897959182
29,FFA,fc6,Subj5,0.25170068027210885,0.19727891156462585,0.1142857142857143,0.2965986394557823
30,FFA,fc7,Subj1,0.17414965986394557,0.17959183673469387,0.1360544217687075,0.18911564625850344
31,FFA,fc7,Subj2,0.11020408163265306,0.10204081632653061,0.07755102040816327,0.0925170068027211
32,FFA,fc7,Subj3,0.2448979591836735,0.2149659863945578,0.17551020408163262,0.2816326530612245
33,FFA,fc7,Subj4,0.09387755102040818,0.11020408163265306,0.0870748299319728,0.10476190476190476
34,FFA,fc7,Subj5,0.2653061224489796,0.17687074829931973,0.09795918367346938,0.30068027210884357
35,FFA,fc8,Subj1,0.14693877551020407,0.15238095238095237,0.1360544217687075,0.18231292517006806
36,FFA,fc8,Subj2,0.0965986394557823,0.1142857142857143,0.0707482993197279,0.09795918367346938
37,FFA,fc8,Subj3,0.18911564625850344,0.19999999999999998,0.19047619047619047,0.2734693877551021
38,FFA,fc8,Subj4,0.09795918367346938,0.10204081632653061,0.08435374149659865,0.11156462585034012
39,FFA,fc8,Subj5,0.1659863945578231,0.1945578231292517,0.13197278911564622,0.2829931972789116
40,LOC,conv1,Subj1,0.1251700680272109,0.11156462585034013,0.06802721088435375,0.236734693877551
41,LOC,conv1,Subj2,0.08843537414965986,0.08843537414965986,0.08027210884353742,0.1836734693877551
42,LOC,conv1,Subj3,0.07755102040816327,0.10476190476190476,0.10340136054421768,0.26258503401360545
43,LOC,conv1,Subj4,0.08163265306122448,0.1306122448979592,0.12380952380952381,0.21904761904761907
44,LOC,conv1,Subj5,0.05578231292517006,0.09659863945578231,0.07210884353741498,0.12653061224489798
45,LOC,conv2,Subj1,0.2585034013605442,0.1768707482993197,0.1346938775510204,0.34421768707482997
46,LOC,conv2,Subj2,0.23537414965986395,0.13333333333333333,0.10068027210884353,0.2761904761904762
47,LOC,conv2,Subj3,0.2204081632653061,0.14965986394557823,0.1142857142857143,0.2965986394557823
48,LOC,conv2,Subj4,0.22448979591836735,0.1673469387755102,0.14421768707482993,0.23401360544217686
49,LOC,conv2,Subj5,0.14013605442176869,0.11156462585034015,0.0870748299319728,0.17006802721088435
50,LOC,conv3,Subj1,0.39047619047619053,0.23537414965986395,0.13197278911564628,0.5006802721088436
51,LOC,conv3,Subj2,0.2816326530612245,0.14149659863945577,0.11700680272108843,0.31700680272108844
52,LOC,conv3,Subj3,0.31700680272108844,0.21632653061224488,0.17414965986394557,0.38503401360544215
53,LOC,conv3,Subj4,0.2530612244897959,0.2108843537414966,0.15374149659863945,0.2802721088435374
54,LOC,conv3,Subj5,0.19591836734693874,0.1183673469387755,0.07210884353741497,0.2285714285714286
55,LOC,conv4,Subj1,0.3904761904761905,0.18367346938775508,0.1401360544217687,0.47619047619047616
56,LOC,conv4,Subj2,0.2938775510204082,0.16462585034013605,0.1142857142857143,0.3346938775510204
57,LOC,conv4,Subj3,0.3755102040816327,0.22585034013605446,0.1850340136054422,0.4122448979591836
58,LOC,conv4,Subj4,0.2680272108843537,0.22040816326530613,0.16054421768707483,0.29115646258503397
59,LOC,conv4,Subj5,0.1904761904761905,0.11428571428571428,0.10068027210884355,0.2272108843537415
60,LOC,conv5,Subj1,0.4448979591836735,0.2258503401360544,0.1251700680272109,0.507482993197279
61,LOC,conv5,Subj2,0.3251700680272109,0.18095238095238095,0.1510204081632653,0.3673469387755102
62,LOC,conv5,Subj3,0.3619047619047619,0.25170068027210885,0.1619047619047619,0.40544217687074824
63,LOC,conv5,Subj4,0.2816326530612245,0.20952380952380953,0.14965986394557823,0.2979591836734694
64,LOC,conv5,Subj5,0.24081632653061225,0.14421768707482993,0.09931972789115646,0.2476190476190476
65,LOC,fc6,Subj1,0.454421768707483,0.29659863945578235,0.1850340136054422,0.5605442176870749
66,LOC,fc6,Subj2,0.3687074829931972,0.22993197278911562,0.18639455782312925,0.4068027210884354
67,LOC,fc6,Subj3,0.37142857142857144,0.2843537414965987,0.23945578231292516,0.4149659863945578
68,LOC,fc6,Subj4,0.29251700680272114,0.25986394557823134,0.21496598639455786,0.30884353741496595
69,LOC,fc6,Subj5,0.21224489795918364,0.15782312925170067,0.1020408163265306,0.24625850340136055
70,LOC,fc7,Subj1,0.39591836734693875,0.27755102040816326,0.19999999999999998,0.5183673469387755
71,LOC,fc7,Subj2,0.34693877551020413,0.21496598639455786,0.1945578231292517,0.39319727891156464
72,LOC,fc7,Subj3,0.3551020408163265,0.27346938775510204,0.2108843537414966,0.38367346938775515
73,LOC,fc7,Subj4,0.2802721088435374,0.23537414965986395,0.2122448979591837,0.3142857142857142
74,LOC,fc7,Subj5,0.19591836734693877,0.17006802721088432,0.11564625850340135,0.21496598639455783
75,LOC,fc8,Subj1,0.254421768707483,0.2857142857142857,0.217687074829932,0.49387755102040815
76,LOC,fc8,Subj2,0.18911564625850344,0.217687074829932,0.18639455782312925,0.37006802721088433
77,LOC,fc8,Subj3,0.26258503401360545,0.29387755102040813,0.22312925170068026,0.3945578231292517
